clave,descripcion,clase_o_division,peligro_secundario,nombre_tecnico
0462,"OBJETOS EXPLOSIVOS, N.E.P.",1.1C,,Substancias y objetos que presentan un riesgo de explosión de la\ntotalidad de la masa.
0463,"OBJETOS EXPLOSIVOS, N.E.P.",1.1D,,Substancias y objetos que presentan un riesgo de explosión de la\ntotalidad de la masa.
0464,"OBJETOS EXPLOSIVOS, N.E.P.",1.1E,,Substancias y objetos que presentan un riesgo de explosión de la\ntotalidad de la masa.
0465,"OBJETOS EXPLOSIVOS, N.E.P.",1.1F,,Substancias y objetos que presentan un riesgo de explosión de la\ntotalidad de la masa.
0466,"OBJETOS EXPLOSIVOS, N.E.P.",1.2C,,"Substancias y objetos que presentan un riesgo de proyección, pero no de\nexplosión de la totalidad de la masa."
0467,"OBJETOS EXPLOSIVOS, N.E.P.",1.2D,,"Substancias y objetos que presentan un riesgo de proyección, pero no de\nexplosión de la totalidad de la masa."
0468,"OBJETOS EXPLOSIVOS, N.E.P.",1.2E,,"Substancias y objetos que presentan un riesgo de proyección, pero no de\nexplosión de la totalidad de la masa."
0469,"OBJETOS EXPLOSIVOS, N.E.P.",1.2F,,"Substancias y objetos que presentan un riesgo de proyección, pero no de\nexplosión de la totalidad de la masa."
0470,"OBJETOS EXPLOSIVOS, N.E.P.",1.3C,,"Substancias y objetos que presentan un riesgo de incendio y un riesgo de que se produzcan pequeños efectos de onda expansiva o de proyección o de ambos, pero no de explosión de la totalidad de la masa."
0471,"OBJETOS EXPLOSIVOS, N.E.P.",1.4E,,Substancias y objetos que no presentan un riesgo considerable.
0472,"OBJETOS EXPLOSIVOS, N.E.P.",1.4F,,Substancias y objetos que no presentan un riesgo considerable.
0473,"SUBSTANCIAS EXPLOSIVAS, N.E.P.",1.1A,,Substancias y objetos que presentan un riesgo de explosión de la\ntotalidad de la masa.
0474,"SUBSTANCIAS EXPLOSIVAS, N.E.P.",1.1C,,Substancias y objetos que presentan un riesgo de explosión de la\ntotalidad de la masa.
0475,"SUBSTANCIAS EXPLOSIVAS, N.E.P.",1.1D,,Substancias y objetos que presentan un riesgo de explosión de la\ntotalidad de la masa.
0476,"SUBSTANCIAS EXPLOSIVAS, N.E.P.",1.1G,,Substancias y objetos que presentan un riesgo de explosión de la\ntotalidad de la masa.
0477,"SUBSTANCIAS EXPLOSIVAS, N.E.P.",1.3C,,"Substancias y objetos que presentan un riesgo de incendio y un riesgo de que se produzcan pequeños efectos de onda expansiva o de proyección o de ambos, pero no de explosión de la totalidad de la masa."
0478,"SUBSTANCIAS EXPLOSIVAS, N.E.P.",1.3G,,"Substancias y objetos que presentan un riesgo de incendio y un riesgo de que se produzcan pequeños efectos de onda expansiva o de proyección o de ambos, pero no de explosión de la totalidad de la masa."
0479,"SUBSTANCIAS EXPLOSIVAS, N.E.P.",1.4C,,Substancias y objetos que no presentan un riesgo considerable.
0480,"SUBSTANCIAS EXPLOSIVAS, N.E.P.",1.4D,,Substancias y objetos que no presentan un riesgo considerable.
0481,"SUBSTANCIAS EXPLOSIVAS, N.E.P.",1.4S,,Substancias y objetos que no presentan un riesgo considerable.
0482,"SUBSTANCIAS EXPLOSIVAS MUY INSENSIBLES (SUBSTANCIAS EMI), N.E.P.",1.5D,,"Substancias poco sensibles que presentan un riesgo de explosión de la totalidad de la masa, pero son tan insensibles que es poco probable que puedan incendiarse o que su combustión origine una detonación en condiciones normales de transporte."
0483,CICLOTRIMETILEN- TRINITRAMINA (CICLONITA; HEXÓGENO; RDX) DESENSIBILIZADA,1.1D,,
0484,CICLOTETRAMETILEN- TETRANITRAMINA (OCTÓGENO; HMX) DESENSIBILIZADA,1.1D,,
0485,"SUBSTANCIAS EXPLOSIVAS, N.E.P.",1.4G,,Substancias y objetos que no presentan un riesgo considerable.
0486,OBJETOS EXPLOSIVOS EXTREMADAMENTE INSENSIBLES (OBJETOS EEI),1.6N,,"Objetos que no presentan un riesgo de explosión de la totalidad de la masa, que contienen substancias extremadamente insensibles a la detonación y muestran una probabilidad muy escasa de iniciación y propagación accidental."
0487,SEÑALES FUMÍGENAS,1.3G,,
0488,MUNICIONES DE EJERCICIOS,1.3G,,
0489,DINITROGLICOLURILO (DINGU),1.1D,,
0490,NITROTRIAZOLONA (NTO),1.1D,,
0491,CARGAS PROPULSORAS,1.4C,,
0492,"PETARDOS DE SEÑALES PARA FERROCARRILES, EXPLOSIVOS",1.3G,,
0493,"PETARDOS DE SEÑALES PARA FERROCARRILES, EXPLOSIVOS",1.4G,,
0494,"DISPOSITIVOS PORTADORES DE CARGAS HUECAS, CARGADOS, para perforación de pozos de petróleo, sin detonador",1.4D,,
0495,PROPULSANTE LÍQUIDO,1.3C,,"Substancias y objetos que presentan un riesgo de incendio y un riesgo de que se produzcan pequeños efectos de onda expansiva o de proyección o de ambos, pero no de explosión de la totalidad de la masa."
0496,OCTONAL,1.1D,,
0497,PROPULSANTE LÍQUIDO,1.1C,,Substancias y objetos que presentan un riesgo de explosión de la\ntotalidad de la masa.
0498,PROPULSANTE SÓLIDO,1.1C,,Substancias y objetos que presentan un riesgo de explosión de la\ntotalidad de la masa.
0499,PROPULSANTE SÓLIDO,1.3C,,"Substancias y objetos que presentan un riesgo de incendio y un riesgo de que se produzcan pequeños efectos de onda expansiva o de proyección o de ambos, pero no de explosión de la totalidad de la masa."
0500,CONJUNTOS DE DETONADORES NO ELÉCTRICOS para voladuras,1.4S,,
0501,PROPULSANTE SÓLIDO,1.4C,,Substancias y objetos que no presentan un riesgo considerable.
0502,COHETES con cabeza inerte,1.2C,,
0503,DISPOSITIVOS DE SEGURIDAD PIROTÉCNICOS,1.4G,,
0504,1H-TETRAZOL,1.1D,,
0505,SEÑALES DE SOCORRO para barcos,1.4G,,
0506,SEÑALES DE SOCORRO para barcos,1.4S,,
0507,SEÑALES FUMÍGENAS,1.4S,,
0508,"1-HIDROXIBENZOTRIAZOL, ANHIDRO, seco o humedecido con menos del 20%, en masa, de agua",1.3C,,
0509,PÓLVORA SIN HUMO,1.4C,,
0510,MOTORES DE COHETE,1.4C,,
0511,DETONADORES ELECTRÓNICOS programables para voladuras,1.1B,,
0512,DETONADORES ELECTRÓNICOS programables para voladuras,1.4B,,
0513,DETONADORES ELECTRÓNICOS programables para voladuras,1.4S,,
1001,ACETILENO DISUELTO,2.1,,
1002,AIRE COMPRIMIDO,2.2,,
1003,AIRE LÍQUIDO REFRIGERADO,2.2,5.1,
1005,"AMONIACO, ANHIDRO",2.3,8,
1006,ARGÓN COMPRIMIDO,2.2,,
1008,TRIFLUORURO DE BORO,2.3,8,
1009,BROMOTRIFLUORO- METANO (GAS REFRIGERANTE R13B1),2.2,,
1010,"BUTADIENOS ESTABILIZADOS o MEZCLA ESTABILIZADA DE BUTADIENOS E HIDROCARBUROS, que contienen más del 40% de butadienos",2.1,,
1011,BUTANO,2.1,,
1012,BUTILENO,2.1,,
1013,DIÓXIDO DE CARBONO,2.2,,
1016,MONÓXIDO DE CARBONO COMPRIMIDO,2.3,2.1,
1017,CLORO,2.3,5.1\n8,
1018,CLORODIFLUOROMETANO (GAS REFRIGERANTE R 22),2.2,,
1020,CLOROPENTAFLUORO- ETANO (GAS REFRIGERANTE R 115),2.2,,
1021,"1-CLORO-1,2,2,2-TETRAFLUOROETANO (GAS REFRIGERANTE R 124)",2.2,,
1022,CLOROTRIFLUOROMETANO (GAS REFRIGERANTE R 13),2.2,,
1023,GAS DE HULLA COMPRIMIDO,2.3,2.1,
1026,CIANÓGENO,2.3,2.1,
1027,CICLOPROPANO,2.1,,
1028,DICLORODIFLUORO- METANO (GAS REFRIGERANTE R 12),2.2,,
1029,DICLOROFLUOROMETANO (GAS REFRIGERANTE R 21),2.2,,
1030,"1,1-DIFLUOROETANO (GAS REFRIGERANTE R 152a)",2.1,,
1032,DIMETILAMINA ANHIDRA,2.1,,
1033,DIMETIL ÉTER (ÉTER DIMETÍLICO),2.1,,
1035,ETANO,2.1,,
1036,ETILAMINA,2.1,,
1037,CLORURO DE ETILO,2.1,,
1038,ETILENO LÍQUIDO REFRIGERADO,2.1,,
1039,ÉTER METILETÍLICO,2.1,,
1040,ÓXIDO DE ETILENO u ÓXIDO DE ETILENO CON NITRÓGENO hasta una presión total de 1 MPa (10 bar) a 50 °C,2.3,2.1,
1041,"ÓXIDO DE ETILENO Y DIÓXIDO DE CARBONO, MEZCLA DE, con más del 9% pero no más del 87% de óxido de etileno",2.1,,
1043,ABONO EN SOLUCIÓN AMONIACAL que contiene amoniaco libre,2.2,,
1044,EXTINTORES DE INCENDIOS que contienen gases comprimidos o licuados,2.2,,
1045,FLÚOR COMPRIMIDO,2.3,5.1\n8,
1046,HELIO COMPRIMIDO,2.2,,
1048,BROMURO DE HIDRÓGENO ANHIDRO,2.3,8,
1049,HIDRÓGENO COMPRIMIDO,2.1,,
1050,CLORURO DE HIDRÓGENO ANHIDRO,2.3,8,
1051,CIANURO DE HIDRÓGENO ESTABILIZADO con menos del 3% de agua,6.1,3,
1052,FLUORURO DE HIDRÓGENO ANHIDRO,8,6.1,
1053,SULFURO DE HIDRÓGENO,2.3,2.1,
1055,ISOBUTILENO,2.1,,
1056,CRIPTÓN COMPRIMIDO,2.2,,
1057,ENCENDEDORES o RECARGAS DE ENCENDEDORES que contienen gas inflamable,2.1,,
1058,"MEZCLAS DE GASES LICUADOS no inflamables con nitrógeno, dióxido de carbono o aire",2.2,,
1060,"METILACETILENO Y PROPADIENO, MEZCLA ESTABILIZADA DE",2.1,,
1061,METILAMINA ANHIDRA,2.1,,
1062,BROMURO DE METILO con un máximo del 2% de cloropicrina,2.3,,
1063,CLORURO DE METILO (GAS REFRIGERANTE R 40),2.1,,
1064,METILMERCAPTANO,2.3,2.1,
1065,NEÓN COMPRIMIDO,2.2,,
1066,NITRÓGENO COMPRIMIDO,2.2,,
1067,TETRÓXIDO DE DINITRÓGENO (DIÓXIDO DE NITRÓGENO),2.3,5.1\n8,
1069,CLORURO DE NITROSILO,2.3,8,
1070,ÓXIDO NITROSO,2.2,5.1,
1071,GAS DE PETRÓLEO COMPRIMIDO,2.3,2.1,
1072,OXÍGENO COMPRIMIDO,2.2,5.1,
1073,OXÍGENO LÍQUIDO REFRIGERADO,2.2,5.1,
1075,"GASES DE PETRÓLEO, LICUADOS",2.1,,
1076,FOSGENO,2.3,8,
1077,PROPILENO,2.1,,
1078,"GAS REFRIGERANTE, N.E.P.",2.2,,"Gases no inflamables, no tóxicos."
1079,DIÓXIDO DE AZUFRE,2.3,8,
1080,HEXAFLUORURO DE AZUFRE,2.2,,
1081,TETRAFLUOROETILENO ESTABILIZADO,2.1,,
1082,TRIFLUOROCLOROETILENO ESTABILIZADO (GAS REFRIGERANTE R 1113),2.3,2.1,
1083,TRIMETILAMINA ANHIDRA,2.1,,
1085,BROMURO DE VINILO ESTABILIZADO,2.1,,
1086,CLORURO DE VINILO ESTABILIZADO,2.1,,
1087,VINIL METIL ÉTER ESTABILIZADO,2.1,,
1088,ACETAL,3,,
1089,ACETALDEHÍDO,3,,
1090,ACETONA,3,,
1091,ACEITES DE ACETONA,3,,
1092,ACROLEÍNA ESTABILIZADA,6.1,3,
1093,ACRILONITRILO ESTABILIZADO,3,6.1,
1098,ALCOHOL ALÍLICO,6.1,3,
1099,BROMURO DE ALILO,3,6.1,
1100,CLORURO DE ALILO,3,6.1,
1104,ACETATOS DE AMILO,3,,
1105,PENTANOLES,3,,
1106,AMILAMINA,3,8,
1107,CLORURO DE AMILO,3,,
1108,1-PENTENO (n-AMILENO),3,,
1109,FORMIATOS DE AMILO,3,,
1110,n-AMILMETILCETONA,3,,
1111,AMILMERCAPTANO,3,,
1112,NITRATO DE AMILO,3,,
1113,NITRITO DE AMILO,3,,
1114,BENCENO,3,,
1120,BUTANOLES,3,,
1123,ACETATOS DE BUTILO,3,,
1125,n-BUTILAMINA,3,8,
1126,1-BROMOBUTANO,3,,
1127,CLOROBUTANOS,3,,
1128,FORMIATO DE n-BUTILO,3,,
1129,BUTIRALDEHÍDO,3,,
1130,ACEITE DE ALCANFOR,3,,
1131,DISULFURO DE CARBONO,3,6.1,
1133,ADHESIVOS que contienen líquidos inflamables,3,,
1134,CLOROBENCENO,3,,
1135,ETILENCLORHIDRINA,6.1,3,
1136,"DESTILADOS DE ALQUITRÁN DE HULLA, INFLAMABLES",3,,
1139,"SOLUCIONES PARA REVESTIMIENTOS (comprende los tratamientos de superficie o los revestimientos utilizados con fines industriales o de otra índole como revestimiento de bajos de vehículos, de bidones o de toneles)",3,,
1143,CROTONALDEHÍDO o CROTONALDEHÍDO ESTABILIZADO,6.1,3,
1144,CROTONILENO,3,,
1145,CICLOHEXANO,3,,
1146,CICLOPENTANO,3,,
1147,DECAHIDRONAFTALENO,3,,
1148,DIACETONALCOHOL,3,,
1149,DIBUTIL ÉTERES,3,,
1150,"1,2-DICLOROETILENO",3,,
1152,DICLOROPENTANOS,3,,
1153,ÉTER DIETÍLICO DEL ETILENGLICOL,3,,
1154,DIETILAMINA,3,8,
1155,ÉTER DIETÍLICO (ÉTER ETÍLICO),3,,
1156,DIETILCETONA,3,,
1157,DIISOBUTILCETONA,3,,
1158,DIISOPROPILAMINA,3,8,
1159,ÉTER DIISOPROPÍLICO,3,,
1160,DIMETILAMINA EN SOLUCIÓN ACUOSA,3,8,
1161,CARBONATO DE DIMETILO,3,,
1162,DIMETILDICLOROSILANO,3,8,
1163,DIMETILHIDRAZINA ASIMÉTRICA,6.1,3\n8,
1164,SULFURO DE DIMETILO,3,,
1165,DIOXANO,3,,
1166,DIOXOLANO,3,,
1167,DIVINIL ÉTER ESTABILIZADO,3,,
1169,EXTRACTOS AROMÁTICOS LÍQUIDOS (ver Segundo Transitorio),3,,
1170,ETANOL (ALCOHOL ETÍLICO) o ETANOL EN SOLUCIÓN (ALCOHOL ETÍLICO EN SOLUCIÓN),3,,
1171,ÉTER MONOETÍLICO DEL ETILENGLICOL,3,,
1172,ACETATO DEL ÉTER MONOETÍLICO DEL ETILENGLICOL,3,,
1173,ACETATO DE ETILO,3,,
1175,ETILBENCENO,3,,
1176,BORATO DE ETILO,3,,
1177,ACETATO DE 2-ETILBUTILO,3,,
1178,2-ETILBUTIRALDEHÍDO (DIETILACETALDEHÍDO),3,,
1179,ETIL BUTIL ÉTER,3,,
1180,BUTIRATO DE ETILO,3,,
1181,CLOROACETATO DE ETILO,6.1,3,
1182,CLOROFORMIATO DE ETILO,6.1,3\n8,
1183,ETILDICLOROSILANO,4.3,3\n8,
1184,DICLORURO DE ETILENO,3,6.1,
1185,ETILENIMINA (AZIRIDINA) ESTABILIZADA,6.1,3,
1188,ÉTER MONOMETÍLICO DEL ETILENGLICOL,3,,
1189,ACETATO DEL ÉTER MONOMETÍLICO DEL ETILENGLICOL,3,,
1190,FORMIATO DE ETILO,3,,
1191,ALDEHÍDOS OCTÍLICOS,3,,
1192,LACTATO DE ETILO,3,,
1193,ETIL METIL CETONA o METIL ETIL CETONA,3,,
1194,NITRITO DE ETILO EN SOLUCIÓN,3,6.1,
1195,PROPIONATO DE ETILO,3,,
1196,ETILTRICLOROSILANO,3,8,
1197,"EXTRACTOS LÍQUIDOS, para saborizar o aromatizar",3,,
1198,FORMALDEHÍDO EN SOLUCIÓN INFLAMABLE,3,8,
1199,FURALDEHÍDOS,6.1,3,
1201,ACEITE DE FUSEL,3,,
1202,GASOLEO o COMBUSTIBLE PARA MOTORES DIESEL o ACEITE MINERAL LIGERO PARA CALEFACCIÓN,3,,
1203,COMBUSTIBLE PARA MOTORES o GASOLINA,3,,
1204,NITROGLICERINA EN SOLUCIÓN ALCOHÓLICA con un máximo del 1% de nitroglicerina,3,,
1206,HEPTANOS,3,,
1207,HEXALDEHÍDO,3,,
1208,HEXANOS,3,,
1210,"TINTA DE IMPRENTA, inflamable o MATERIALES RELACIONADOS CON LA TINTA DE IMPRENTA (incluido diluyente de tinta de imprenta o producto reductor), inflamables",3,,
1212,ISOBUTANOL (ALCOHOL ISOBUTÍLICO),3,,
1213,ACETATO DE ISOBUTILO,3,,
1214,ISOBUTILAMINA,3,8,
1216,ISOOCTENOS,3,,
1218,ISOPRENO ESTABILIZADO,3,,
1219,ISOPROPANOL (ALCOHOL ISOPROPÍLICO),3,,
1220,ACETATO DE ISOPROPILO,3,,
1221,ISOPROPILAMINA,3,8,
1222,NITRATO DE ISOPROPILO,3,,
1223,QUEROSENO,3,,
1224,"CETONAS LÍQUIDAS, N.E.P.",3,,Líquidos inflamables.
1228,"MERCAPTANOS LÍQUIDOS, INFLAMABLES, TÓXICOS, N.E.P. o MERCAPTANOS EN MEZCLA LÍQUIDA, INFLAMABLE, TÓXICA, N.E.P.",3,6.1,Líquidos inflamables.
1229,ÓXIDO DE MESITILO,3,,
1230,METANOL,3,6.1,
1231,ACETATO DE METILO,3,,
1233,ACETATO DE METILAMILO,3,,
1234,METILAL (DIMETOXIMETANO),3,,
1235,METILAMINA EN SOLUCIÓN ACUOSA,3,8,
1237,BUTIRATO DE METILO,3,,
1238,CLOROFORMIATO DE METILO,6.1,3\n8,
1239,METIL CLOROMETIL ÉTER,6.1,3,
1242,METILDICLOROSILANO,4.3,3\n8,
1243,FORMIATO DE METILO,3,,
1244,METILHIDRAZINA,6.1,3\n8,
1245,METILISOBUTILCETONA,3,,
1246,METILISOPROPENIL- CETONA ESTABILIZADA,3,,
1247,METACRILATO DE METILO MONÓMERO ESTABILIZADO,3,,
1248,PROPIONATO DE METILO,3,,
1249,METILPROPILCETONA,3,,
1250,METILTRICLOROSILANO,3,8,
1251,"METILVINILCETONA, ESTABILIZADA",6.1,3\n8,
1259,NÍQUEL CARBONILO,6.1,3,
1261,NITROMETANO,3,,
1262,OCTANOS,3,,
1263,"PINTURAS (incluidas pinturas, lacas, esmaltes, colorantes, goma laca, barnices, bruñidores, encáusticos, apresto líquido y bases líquidas para lacas) o PRODUCTOS PARA PINTURA (incluidos disolventes y diluyentes para pinturas)",3,,
1264,PARALDEHÍDO,3,,
1265,PENTANOS líquidos,3,,
1266,PRODUCTOS DE PERFUMERÍA que contengan disolventes inflamables,3,,
1267,PETRÓLEO BRUTO,3,,
1268,"DESTILADOS DE PETRÓLEO, N.E.P. o PRODUCTOS DE PETRÓLEO, N.E.P.",3,,Líquidos inflamables.
1272,ACEITE DE PINO,3,,
1274,n-PROPANOL (ALCOHOL PROPÍLICO NORMAL),3,,
1275,PROPIONALDEHÍDO,3,,
1276,ACETATO DE n-PROPILO,3,,
1277,PROPILAMINA,3,8,
1278,1-CLOROPROPANO,3,,
1279,"1,2-DICLOROPROPANO",3,,
1280,ÓXIDO DE PROPILENO,3,,
1281,FORMIATOS DE PROPILO,3,,
1282,PIRIDINA,3,,
1286,ACEITE DE COLOFONIA,3,,
1287,DISOLUCIÓN DE CAUCHO,3,,
1288,ACEITE DE ESQUISTO,3,,
1289,METILATO DE SODIO EN SOLUCIÓN alcohólica,3,8,
1292,SILICATO DE TETRAETILO,3,,
1293,TINTURAS MEDICINALES,3,,
1294,TOLUENO,3,,
1295,TRICLOROSILANO,4.3,3\n8,
1296,TRIETILAMINA,3,8,
1297,"TRIMETILAMINA EN SOLUCIÓN ACUOSA, con un máximo del 50%, en masa, de trimetilamina",3,8,
1298,TRIMETILCLOROSILANO,3,8,
1299,TREMENTINA,3,,
1300,SUCEDÁNEO DE TREMENTINA,3,,
1301,ACETATO DE VINILO ESTABILIZADO,3,,
1302,VINIL ETIL ÉTER ESTABILIZADO,3,,
1303,CLORURO DE VINILIDENO ESTABILIZADO,3,,
1304,VINIL ISOBUTIL ÉTER ESTABILIZADO,3,,
1305,VINILTRICLOROSILANO,3,8,
1306,PRODUCTOS LÍQUIDOS PARA LA CONSERVACIÓN DE LA MADERA,3,,
1307,XILENOS,3,,
1308,CIRCONIO EN SUSPENSIÓN EN UN LÍQUIDO INFLAMABLE,3,,
1309,"ALUMINIO EN POLVO, RECUBIERTO",4.1,,
1310,"PICRATO DE AMONIO HUMIDIFICADO con un mínimo del 10%, en masa, de agua",4.1,,
1312,BORNEOL,4.1,,
1313,RESINATO DE CALCIO,4.1,,
1314,RESINATO DE CALCIO FUNDIDO,4.1,,
1318,"RESINATO DE COBALTO, PRECIPITADO",4.1,,
1320,"DINITROFENOL HUMIDIFICADO con un mínimo del 15%, en masa, de agua",4.1,6.1,
1321,"DINITROFENOLATOS HUMIDIFICADOS con un mínimo del 15%, en masa, de agua",4.1,6.1,
1322,"DINITRORRESORCINOL (DINITRORRESORCINA) HUMIDIFICADO con un mínimo del 15%, en masa, de agua",4.1,,
1323,FERROCERIO,4.1,,
1324,"PELÍCULAS DE SOPORTE NITROCELULÓSICO revestido de gelatina, con exclusión de los desechos",4.1,,
1325,"SÓLIDO INFLAMABLE ORGÁNICO, N.E.P.",4.1,,Solidos que se inflaman con facilidad o pueden provocar o activar incendios por fricción.
1326,"HAFNIO EN POLVO, HUMIDIFICADO con un mínimo del 25% de agua (debe haber un exceso visible de agua): a) producido mecánicamente, en partículas de menos de 53 micrones; b) producido químicamente, en partículas de menos de 840 micrones",4.1,,
1327,"HENO, PAJA o ""BUSHA"" (TAMO)",4.1,,
1328,HEXAMETILENTETRAMINA,4.1,,
1330,RESINATO DE MANGANESO,4.1,,
1331,FÓSFOROS DISTINTOS DE LOS DE SEGURIDAD,4.1,,
1332,METALDEHÍDO,4.1,,
1333,"CERIO, en placas, lingotes o barras",4.1,,
1334,NAFTALENO BRUTO o NAFTALENO REFINADO,4.1,,
1336,"NITROGUANIDINA (PICRITA) HUMIDIFICADA1 con un mínimo del 20%, en masa, de agua",4.1,,
1337,"NITROALMIDÓN HUMIDIFICADO con un mínimo del 20%, en masa, de agua",4.1,,
1338,FÓSFORO AMORFO,4.1,,
1339,"HEPTASULFURO DE FÓSFORO, que no contiene fósforo blanco o amarillo",4.1,,
1340,"PENTASULFURO DE FÓSFORO, que no contiene fósforo blanco o amarillo",4.3,4.1,
1341,"SESQUISULFURO DE FÓSFORO, que no contiene fósforo blanco o amarillo",4.1,,
1343,"TRISULFURO DE FÓSFORO, que no contiene fósforo blanco o amarillo",4.1,,
1344,"TRINITROFENOL (ÁCIDO PÍCRICO) HUMIDIFICADO con un mínimo del 30%, en masa, de agua",4.1,,
1345,"DESECHOS DE CAUCHO o RECORTES DE CAUCHO, en polvo o en gránulos de 840 micras como máximo y que contienen más del 45% de caucho",4.1,,
1346,"SILICIO EN POLVO, AMORFO",4.1,,
1347,"PICRATO DE PLATA HUMIDIFICADO con un mínimo del 30%, en masa, de agua",4.1,,
1348,"DINITRO-o-CRESOLATO DE SODIO HUMIDIFICADO con un mínimo del 15%, en masa, de agua",4.1,6.1,
1349,"PICRAMATO DE SODIO HUMIDIFICADO con un mínimo del 20%, en masa, de agua",4.1,,
1350,AZUFRE,4.1,,
1352,"TITANIO EN POLVO, HUMIDIFICADO con un mínimo del 25% de agua (debe haber un exceso visible de agua): a) producido mecánicamente, en partículas de menos de 53 micrones; b) producido químicamente, en partículas de menos de 840 micrones",4.1,,
1353,"FIBRAS o TEJIDOS IMPREGNADOS DE NITROCELULOSA POCO NITRADA, N.E.P.",4.1,,Solidos que se inflaman con facilidad o pueden provocar o activar incendios por fricción.
1354,"TRINITROBENCENO HUMIDIFICADO con un mínimo del 30%, en masa, de agua",4.1,,
1355,"ÁCIDO TRINITROBENZOICO HUMIDIFICADO con un mínimo del 30%, en masa, de agua",4.1,,
1356,"TRINITROTOLUENO (TNT) HUMIDIFICADO con un mínimo del 30%, en masa, de agua",4.1,,
1357,"NITRATO DE UREA HUMIDIFICADO con un mínimo del 20%, en masa, de agua",4.1,,
1358,"CIRCONIO EN POLVO, HUMIDIFICADO con un mínimo del 25% de agua (debe haber un exceso visible de agua): a) producido mecánicamente, en partículas de menos de 53 micrones; b) producido químicamente, en partículas de menos de 840 micrones",4.1,,
1360,FOSFURO DE CALCIO,4.3,6.1,
1361,CARBÓN de origen animal o vegetal,4.2,,
1362,CARBÓN ACTIVADO,4.2,,
1363,COPRA,4.2,,
1364,DESECHOS GRASIENTOS DE ALGODÓN,4.2,,
1365,ALGODÓN HÚMEDO,4.2,,
1369,p-NITROSODIMETILANILINA,4.2,,
1372,"FIBRAS DE ORIGEN ANIMAL o FIBRAS DE ORIGEN VEGETAL quemadas, húmedas1 o mojadas",4.2,,
1373,"FIBRAS o TEJIDOS DE ORIGEN ANIMAL o VEGETAL o SINTÉTICOS, N.E.P., impregnados de aceite",4.2,,Solidos inflamables de reacción espontanea.
1374,HARINA DE PESCADO (DESECHOS DE PESCADO) NO ESTABILIZADA,4.2,,
1376,ÓXIDO DE HIERRO AGOTADO o HIERRO ESPONJOSO AGOTADO procedentes de la purificación del gas de hulla,4.2,,
1378,CATALIZADOR DE METAL HUMEDECIDO con un exceso visible de líquido,4.2,,Solidos inflamables de reacción espontanea.
1379,"PAPEL TRATADO CON ACEITES NO SATURADOS, no completamente seco (incluido el papel carbón)",4.2,,
1380,PENTABORANO,4.2,6.1,
1381,"FÓSFORO BLANCO o AMARILLO, SECO o BAJO AGUA o EN SOLUCIÓN",4.2,6.1,
1382,SULFURO DE POTASIO ANHIDRO o SULFURO DE POTASIO con menos del 30% de agua de cristalización,4.2,,
1383,"METAL PIROFÓRICO, N.E.P., o ALEACIÓN PIROFÓRICA, N.E.P.",4.2,,Solidos inflamables de reacción espontanea.
1384,DITIONITO DE SODIO (HIDROSULFITO DE SODIO),4.2,,
1385,SULFURO DE SODIO ANHIDRO o SULFURO DE SODIO con menos del 30% de agua de cristalización,4.2,,
1386,"TORTA OLEAGINOSA con más del 1,5% de aceite y un máximo del 11% de humedad",4.2,,
1387,"DESECHOS DE LANA, HÚMEDOS",4.2,,
1389,"METALES ALCALINOS, AMALGAMA LÍQUIDA DE,",4.3,,Substancias que en contacto con el agua desprenden gases inflamables.
1390,AMIDAS DE METALES ALCALINOS,4.3,,Substancias que en contacto con el agua desprenden gases inflamables.
1391,"METALES ALCALINOS, DISPERSIÓN DE, o METALES ALCALINOTÉRREOS, DISPERSIÓN DE",4.3,,Substancias que en contacto con el agua desprenden gases inflamables.
1392,"METALES ALCALINOTÉRREOS, AMALGAMA LÍQUIDA DE",4.3,,Substancias que en contacto con el agua desprenden gases inflamables.
1393,"METALES ALCALINOTÉRREOS, ALEACIÓN DE, N.E.P.",4.3,,Substancias que en contacto con el agua desprenden gases inflamables.
1394,CARBURO DE ALUMINIO,4.3,,
1395,ALUMINIOFERROSILICIO EN POLVO,4.3,6.1,
1396,"ALUMINIO EN POLVO, NO RECUBIERTO",4.3,,
1397,FOSFURO DE ALUMINIO,4.3,6.1,
1398,"ALUMINIOSILICIO EN POLVO, NO RECUBIERTO",4.3,,
1400,BARIO,4.3,,
1401,CALCIO,4.3,,
1402,CARBURO DE CALCIO,4.3,,
1403,"CIANAMIDA CÁLCICA con más del 0,1% de carburo de calcio",4.3,,
1404,HIDRURO DE CALCIO,4.3,,
1405,SILICIURO DE CALCIO,4.3,,
1407,CESIO,4.3,,
1408,FERROSILICIO con el 30% o más pero menos del 90% de silicio,4.3,6.1,
1409,"HIDRUROS METÁLICOS QUE REACCIONAN CON EL AGUA, N.E.P.",4.3,,Substancias que en contacto con el agua desprenden gases inflamables.
1410,HIDRURO DE LITIO Y ALUMINIO,4.3,,
1411,HIDRURO DE LITIO Y ALUMINIO EN ÉTER,4.3,3,
1413,BOROHIDRURO DE LITIO,4.3,,
1414,HIDRURO DE LITIO,4.3,,
1415,LITIO,4.3,,
1417,LITIOSILICIO,4.3,,
1418,MAGNESIO EN POLVO o ALEACIONES DE MAGNESIO EN POLVO,4.3,4.2,
1419,FOSFURO DE MAGNESIO Y ALUMINIO,4.3,6.1,
1420,"POTASIO, ALEACIONES METÁLICAS LÍQUIDAS DE",4.3,,
